path;lastModified;valid
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tifSicher/r";"2023-11-24T11:28:13";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tifSicher/v";"2023-11-24T11:33:07";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65";"2023-11-24T11:43:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tif";"2023-11-24T11:43:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/jpg";"2023-11-24T11:43:23";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/jpg/page";"2023-11-24T11:43:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher";"2023-11-24T11:49:11";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher/r";"2023-11-24T11:49:10";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher/v";"2023-11-24T11:54:51";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66";"2023-11-24T12:17:38";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tif";"2023-11-24T12:05:27";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher";"2023-11-24T12:11:33";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher/r";"2023-11-24T12:11:31";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher/v";"2023-11-24T12:17:36";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/jpg";"2023-11-24T12:17:51";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67";"2023-11-24T12:28:32";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tif";"2023-11-24T12:28:15";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/jpg";"2023-11-24T12:28:32";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher";"2023-11-24T12:34:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher/v";"2023-11-24T12:34:28";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher/r";"2023-11-24T12:40:16";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69";"2023-11-24T12:52:38";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69/tif";"2023-11-24T12:52:21";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69/jpg";"2023-11-24T12:52:38";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69/tifSicher";"2023-12-05T15:32:31";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69/tifSicher/r";"2023-12-05T15:32:27";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_69/tifSicher/v";"2023-12-05T15:46:32";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70";"2023-12-05T15:53:02";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/tif";"2023-12-05T15:52:49";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/jpg";"2023-12-05T15:52:59";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/jpg/page";"2023-12-05T15:53:02";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/tifSicher";"2023-12-05T15:56:39";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/tifSicher/r";"2023-12-05T15:56:37";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_70/tifSicher/v";"2023-12-05T16:00:17";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74";"2023-12-05T16:29:43";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74/tif";"2023-12-05T16:29:37";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74/jpg";"2023-12-05T16:29:43";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74/tifSicher";"2023-12-05T16:31:40";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74/tifSicher/v";"2023-12-05T16:31:37";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_74/tifSicher/r";"2023-12-05T16:33:36";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75";"2023-12-05T16:36:16";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75/tif";"2023-12-05T16:36:09";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75/jpg";"2023-12-05T16:36:15";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75/tifSicher";"2023-12-05T16:38:08";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75/tifSicher/v";"2023-12-05T16:38:05";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_75/tifSicher/r";"2023-12-05T16:39:59";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76";"2023-12-05T16:41:39";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76/tif";"2023-12-05T16:41:34";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76/jpg";"2023-12-05T16:41:39";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76/tifSicher";"2023-12-05T16:43:00";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76/tifSicher/v";"2023-12-05T16:42:57";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_76/tifSicher/r";"2023-12-05T16:44:21";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51";"2023-12-05T17:29:37";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51/tifSicher";"2023-12-05T16:56:13";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51/tifSicher/r";"2023-12-05T16:56:11";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51/tifSicher/v";"2023-12-05T17:07:56";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51/tif";"2023-12-05T17:29:35";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A63_51/jpg";"2023-12-05T17:30:35";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34";"2023-12-05T17:49:50";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34/tifSicher";"2023-12-05T17:39:41";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34/tifSicher/r";"2023-12-05T17:39:38";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34/tifSicher/v";"2023-12-05T17:48:56";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34/jpg";"2023-12-05T17:49:49";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_34/tif";"2023-12-05T18:05:38";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22";"2023-12-05T18:37:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22/tif";"2023-12-05T18:37:15";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22/jpg";"2023-12-05T18:37:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22/tifSicher";"2023-12-05T18:43:53";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22/tifSicher/r";"2023-12-05T18:43:51";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_22/tifSicher/v";"2023-12-05T18:50:04";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23";"2023-12-05T18:51:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23/tif";"2023-12-05T18:51:23";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23/jpg";"2023-12-05T18:51:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23/tifSicher";"2023-12-05T18:52:25";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23/tifSicher/r";"2023-12-05T18:52:23";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_23/tifSicher/v";"2023-12-05T18:53:15";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27";"2023-12-05T19:21:53";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27/tif";"2023-12-05T19:06:00";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27/tifSicher";"2023-12-05T19:13:57";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27/tifSicher/r";"2023-12-05T19:13:54";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27/tifSicher/v";"2023-12-05T19:21:50";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_27/jpg";"2023-12-05T19:22:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41";"2023-12-05T19:55:03";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41/tif";"2023-12-05T19:35:13";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41/tifSicher";"2023-12-05T19:45:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41/tifSicher/r";"2023-12-05T19:45:07";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41/tifSicher/v";"2023-12-05T19:55:00";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_41/jpg";"2023-12-05T19:55:36";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42";"2023-12-05T20:05:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42/tif";"2023-12-05T20:05:16";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42/jpg";"2023-12-05T20:05:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42/tifSicher";"2023-12-05T20:14:45";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42/tifSicher/r";"2023-12-05T20:14:42";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_42/tifSicher/v";"2023-12-05T20:24:08";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_43";"2023-12-05T20:36:48";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_43/tif";"2023-12-05T20:36:11";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_43/jpg";"2023-12-05T20:36:47";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_43/tifSIcher";"2023-12-05T20:47:20";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_43/tifSIcher/r";"2023-12-05T20:47:17";no
