"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"37","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_22.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_22.xml","S1_22.xml","Signature","Done","419594","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"38","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_40.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_40.xml","S1_40.xml","Signature","Done","93877","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"39","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_44.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_44.xml","S1_44.xml","Signature","Done","230776","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"40","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_29.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_29.xml","S1_29.xml","Signature","Done","399569","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"41","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_40a.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_40a.xml","S1_40a.xml","Signature","Done","523453","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"42","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_58.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_58.xml","S1_58.xml","Signature","Done","1140516","File","xml","2024-08-14T14:32:17","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"43","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_45.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_45.xml","S1_45.xml","Signature","Done","1491345","File","xml","2024-08-14T14:32:16","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"44","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_61.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_61.xml","S1_61.xml","Signature","Done","1509015","File","xml","2024-08-14T14:32:17","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"45","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_62.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_62.xml","S1_62.xml","Signature","Done","1075145","File","xml","2024-08-14T14:32:17","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"46","1","file:/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_63.xml","/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs/S1_63.xml","S1_63.xml","Signature","Done","1538923","File","xml","2024-08-14T14:32:17","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
